id_venta,fecha,año,mes,trimestre,producto,categoria,ciudad,pais,canal,cantidad,precio_unitario,descuento_pct,venta_total,costo_total,margen_bruto_pct,satisfaccion,devolucion,cliente_nuevo
VT00001,2025-12-24,2025,Dic,Q4,SSD 1TB,Almacenamiento,Medellín,Colombia,Online,9,423000,0.06,3807000,2430000,36.2,3.2,0,0
VT00002,2024-01-20,2024,Ene,Q1,USB-C Hub,Accesorios,Lima,Perú,Online,33,114000,0.05,3762000,2376000,36.8,3.1,0,0
VT00003,2025-08-25,2025,Ago,Q3,Impresora Láser,Impresión,Lima,Perú,Tienda Física,1,784000,0.2,784000,588000,25.0,4.6,0,0
VT00004,2024-02-28,2024,Feb,Q1,Teclado Mecánico,Accesorios,Barranquilla,Colombia,Distribuidores,23,291200,0.09,6697600,4416000,34.1,3.7,0,1
VT00005,2024-07-20,2024,Jul,Q3,Cámara HD,Fotografía,Buenos Aires,Argentina,Online,41,1290000,0.14,52890000,36900000,30.2,4.8,0,1
VT00006,2024-05-13,2024,May,Q2,Mouse Inalámbrico,Accesorios,Bogotá,Colombia,Tienda Física,7,67150,0.21,470050,357000,24.1,3.6,0,0
VT00007,2025-11-21,2025,Nov,Q4,"Tablet 10""",Tablets,Monterrey,México,Tienda Física,44,984000,0.18,43296000,31680000,26.8,3.1,0,0
VT00008,2025-07-23,2025,Jul,Q3,"Monitor 24""",Monitores,Cali,Colombia,B2B,41,667500,0.25,27367500,21894000,20.0,4.1,0,0
VT00009,2025-06-19,2025,Jun,Q2,Laptop Pro,Computadores,Barranquilla,Colombia,Online,14,2604000,0.07,36456000,23520000,35.5,4.8,0,0
VT00010,2024-05-18,2024,May,Q2,Smartphone X,Smartphones,Arequipa,Perú,Tienda Física,36,1974000,0.06,71064000,45360000,36.2,3.5,0,0
VT00011,2025-03-28,2025,Mar,Q1,Smartphone X,Smartphones,Monterrey,México,Tienda Física,4,2058000,0.02,8232000,5040000,38.8,3.2,0,0
VT00012,2025-07-17,2025,Jul,Q3,Smartphone X,Smartphones,Montevideo,Uruguay,Online,30,1785000,0.15,53550000,37800000,29.4,3.5,0,0
VT00013,2025-05-06,2025,May,Q2,SSD 1TB,Almacenamiento,Medellín,Colombia,Marketplace,28,436500,0.03,12222000,7560000,38.1,3.9,0,0
